Name	Rearrangement	Support
S76|IGHV6-1*02|IGHD2-2*02|IGHJ2*01	V6-1*01,J2*01	0.06566640800419345
S76|IGHV6-1*02|IGHD2-2*02|IGHJ2*01	V6-1*02,J2*01	0.9343335919954832
S77|IGHV3-15*02|IGHD3-22*01|IGHJ6*03	V3-15*02,J6*03	0.6618456446713404
S77|IGHV3-15*02|IGHD3-22*01|IGHJ6*03	V3-15*02,J6*04	0.3309230268446337
S78|IGHV1-69-2*01|IGHD5-18*01|IGHJ6*03	V1-69-2*01,J6*03	0.4444437478202849
S78|IGHV1-69-2*01|IGHD5-18*01|IGHJ6*03	V1-69-2*01,J6*04	0.2222220112423602
S78|IGHV1-69-2*01|IGHD5-18*01|IGHJ6*03	V1-69-2*02,J6*03	0.2222224267003602
S78|IGHV1-69-2*01|IGHD5-18*01|IGHJ6*03	V1-69-2*02,J6*04	0.1111112820164598
S79|IGHV3-53*01|IGHD5-24*01|IGHJ6*02	V3-53*02,J6*01	0.06544702048429173
S79|IGHV3-53*01|IGHD5-24*01|IGHJ6*02	V3-53*02,J6*02	0.1308940451542319
S79|IGHV3-53*01|IGHD5-24*01|IGHJ6*02	V3-53*01,J6*01	0.1308940612926031
S79|IGHV3-53*01|IGHD5-24*01|IGHJ6*02	V3-53*01,J6*02	0.2617881309565043
S79|IGHV3-53*01|IGHD5-24*01|IGHJ6*02	V3-66*03,J6*01	0.06544702048631552
S79|IGHV3-53*01|IGHD5-24*01|IGHJ6*02	V3-66*03,J6*02	0.1308940451582795
S79|IGHV3-53*01|IGHD5-24*01|IGHJ6*02	V3-53*03,J6*01	0.0654470206634581
S79|IGHV3-53*01|IGHD5-24*01|IGHJ6*02	V3-53*03,J6*02	0.1308940455125646
S80|IGHV1-8*01|IGHD3-10*02|IGHJ4*01	V1-8*01,J5*01	0.277443098181184
S80|IGHV1-8*01|IGHD3-10*02|IGHJ4*01	V1-8*01,J1*01	0.07740772483956156
S80|IGHV1-8*01|IGHD3-10*02|IGHJ4*01	V1-8*01,J4*01	0.1389186252930086
S80|IGHV1-8*01|IGHD3-10*02|IGHJ4*01	V1-8*01,J4*02	0.06787647124871743
